GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Persona,26,50,7,3,6,17,6,7,1,7
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Profesor,29,12,4,0,11,4,4,2,2,2
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Alumno,0,12,0,0,0,4,0,2,0,2
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Aula,10,60,2,8,5,17,3,10,1,7
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Gestion,27,332,1,31,7,77,1,35,0,20
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Validacion,0,33,0,2,0,9,0,3,0,2
InstitutoTenerife,es.iespuertodelacruz.javier.elementos,Nota,9,48,4,4,1,16,3,8,0,7
InstitutoTenerife,es.iespuertodelacruz.javier.exceptions,ExceptionAula,5,4,0,0,2,2,1,1,1,1
InstitutoTenerife,es.iespuertodelacruz.javier.exceptions,ExceptionPersona,5,4,0,0,2,2,1,1,1,1
InstitutoTenerife,es.iespuertodelacruz.javier.exceptions,ExceptionNota,5,4,0,0,2,2,1,1,1,1
InstitutoTenerife,es.iespuertodelacruz.javier.exceptions,FicheroException,0,9,0,0,0,4,0,2,0,2
InstitutoTenerife,es.iespuertodelacruz.javier.exceptions,ExceptionValidar,5,4,0,0,2,2,1,1,1,1
